Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.2,300,leviathan,15,0,1382,15,15,0.1472126939,1,1,1,65.41244573,88.43930636,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.2,300,leviathan,15,1,1382,15,15,0.14859982300000002,1,1,1,68.16208394,77.45664740000001,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.2,300,leviathan,15,2,1382,15,15,0.148705123,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.2,300,leviathan,15,3,1383,15,15,0.1475145458,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.2,300,leviathan,15,4,1383,15,15,0.14849392,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.1,300,leviathan,15,0,1382,15,15,0.1668347232,3,3,5,90.01447178,67.6300578,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.1,300,leviathan,15,1,1382,15,15,0.17116821,1,1,1,68.16208394,77.45664740000001,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.1,300,leviathan,15,2,1382,15,15,0.1570656882,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.1,300,leviathan,15,3,1383,15,15,0.1541525899,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.1,300,leviathan,15,4,1383,15,15,0.1553514889,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.09,300,leviathan,15,0,1382,15,15,0.1773567563,3,3,5,90.01447178,67.6300578,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.09,300,leviathan,15,1,1382,15,15,0.1775082848,3,3,5,87.33719247,78.32369942,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.09,300,leviathan,15,2,1382,15,15,0.168379108,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.09,300,leviathan,15,3,1383,15,15,0.1660165777,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.09,300,leviathan,15,4,1383,15,15,0.159139839,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.08,300,leviathan,15,0,1382,15,15,0.1879284168,3,3,5,90.01447178,67.6300578,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.08,300,leviathan,15,1,1382,15,15,0.1885283529,3,3,5,87.33719247,78.32369942,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.08,300,leviathan,15,2,1382,15,15,0.17856884329999997,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.08,300,leviathan,15,3,1383,15,15,0.1734361439,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.08,300,leviathan,15,4,1383,15,15,0.300495903,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
